"File name","process name","ressult process"
"1875_01_01_BCN_DB_U_30_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_000.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_001.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_002.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_002.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_003.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_003.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_004.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_004.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_005.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_005.jpg","(OCR)","[OK]"
"1875_01_01_BCN_DB_U_30_006.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_01_BCN_DB_U_30_006.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_M_19_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_M_19_000.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_M_19_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_M_19_001.jpg","(OCR)","[ERROR]"
"1875_01_02_BCN_DB_M_19_002.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_M_19_002.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_T_05_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_T_05_000.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_T_05_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_T_05_001.jpg","(OCR)","[ERROR]"
"1875_01_02_BCN_DB_T_05_002.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_T_05_002.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_T_05_003.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_T_05_003.jpg","(OCR)","[OK]"
"1875_01_02_BCN_DB_T_05_004.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_02_BCN_DB_T_05_004.jpg","(OCR)","[ERROR]"
"1875_01_03_BCN_DB_U_37_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_000.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_37_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_001.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_37_002.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_002.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_37_003.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_003.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_37_004.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_004.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_37_005.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_37_005.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_38_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_38_000.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_38_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_38_001.jpg","(OCR)","[ERROR]"
"1875_01_03_BCN_DB_U_38_002.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_38_002.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_38_003.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_38_003.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_46_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_46_000.jpg","(OCR)","[OK]"
"1875_01_03_BCN_DB_U_46_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_03_BCN_DB_U_46_001.jpg","(OCR)","[OK]"
"1875_01_05_BCN_DB_M_33_000.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_05_BCN_DB_M_33_000.jpg","(OCR)","[OK]"
"1875_01_05_BCN_DB_M_33_001.jpg","(DISCARDING IMAGE)","[ERROR]"
"1875_01_05_BCN_DB_M_33_001.jpg","(OCR)","[OK]"
"1875_01_05_BCN_DB_M_33_002.jpg","(DISCARDING IMAGE)","[ERROR]"
