"File name","process name","ressult process"
"1899_01_18_BCN_DB_M_35_004.jpg","(OCR)","[OK]"
"1899_01_18_BCN_DB_T_06_000.jpg","(OCR)","[OK]"
"1899_01_18_BCN_DB_T_06_001.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_M_33_000.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_M_33_001.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_M_33_002.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_M_33_003.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_06_000.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_06_001.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_06_002.jpg","(OCR)","[ERROR]"
"1899_01_19_BCN_DB_T_06_003.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_06_004.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_08_000.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_08_001.jpg","(OCR)","[OK]"
"1899_01_19_BCN_DB_T_08_002.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_M_27_000.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_M_27_001.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_M_27_002.jpg","(OCR)","[ERROR]"
"1899_01_20_BCN_DB_M_27_003.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_06_000.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_06_001.jpg","(OCR)","[ERROR]"
"1899_01_20_BCN_DB_T_06_002.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_06_003.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_07_000.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_07_001.jpg","(OCR)","[ERROR]"
"1899_01_20_BCN_DB_T_07_002.jpg","(OCR)","[OK]"
"1899_01_20_BCN_DB_T_07_003.jpg","(OCR)","[ERROR]"
"1899_01_20_BCN_DB_T_07_004.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_M_27_000.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_M_27_001.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_M_27_002.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_M_27_003.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_M_27_004.jpg","(OCR)","[ERROR]"
"1899_01_21_BCN_DB_M_27_005.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_T_05_000.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_T_05_001.jpg","(OCR)","[OK]"
"1899_01_21_BCN_DB_T_05_002.jpg","(OCR)","[ERROR]"
"1899_01_21_BCN_DB_T_05_003.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_M_32_000.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_M_32_001.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_M_32_002.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_M_32_003.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_M_32_004.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_T_07_000.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_T_07_001.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_T_07_002.jpg","(OCR)","[OK]"
"1899_01_24_BCN_DB_T_07_003.jpg","(OCR)","[OK]"
"1899_01_25_BCN_DB_M_24_000.jpg","(OCR)","[OK]"
"1899_01_25_BCN_DB_M_24_001.jpg","(OCR)","[OK]"
"1899_01_25_BCN_DB_M_24_002.jpg","(OCR)","[OK]"
"1899_01_25_BCN_DB_M_24_003.jpg","(OCR)","[OK]"
"1899_01_26_BCN_DB_M_33_000.jpg","(OCR)","[OK]"
"1899_01_26_BCN_DB_M_33_001.jpg","(OCR)","[OK]"
"1899_01_26_BCN_DB_M_33_002.jpg","(OCR)","[OK]"
"1899_01_26_BCN_DB_M_33_003.jpg","(OCR)","[OK]"
"1899_01_26_BCN_DB_M_33_004.jpg","(OCR)","[ERROR]"
"1899_01_26_BCN_DB_M_33_005.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_000.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_001.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_002.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_003.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_004.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_005.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_006.jpg","(OCR)","[OK]"
"1899_01_27_BCN_DB_T_07_007.jpg","(OCR)","[ERROR]"
"1899_01_27_BCN_DB_T_07_008.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_M_23_000.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_M_23_001.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_M_23_002.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_M_23_003.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_T_07_000.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_T_07_001.jpg","(OCR)","[OK]"
"1899_01_28_BCN_DB_T_07_002.jpg","(OCR)","[ERROR]"
"1899_01_28_BCN_DB_T_07_003.jpg","(OCR)","[OK]"
"1899_01_29_BCN_DB_U_42_000.jpg","(OCR)","[OK]"
"1899_01_29_BCN_DB_U_42_001.jpg","(OCR)","[OK]"
"1899_01_29_BCN_DB_U_42_002.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_000.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_001.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_002.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_003.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_004.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_34_005.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_35_000.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_M_35_001.jpg","(OCR)","[ERROR]"
"1899_01_31_BCN_DB_M_35_002.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_T_07_000.jpg","(OCR)","[ERROR]"
"1899_01_31_BCN_DB_T_07_001.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_T_07_002.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_T_07_003.jpg","(OCR)","[ERROR]"
"1899_01_31_BCN_DB_T_07_004.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_T_07_005.jpg","(OCR)","[ERROR]"
"1899_01_31_BCN_DB_T_07_006.jpg","(OCR)","[OK]"
"1899_01_31_BCN_DB_T_07_007.jpg","(OCR)","[OK]"
"1899_02_01_BCN_DB_M_31_000.jpg","(OCR)","[OK]"
"1899_02_01_BCN_DB_M_31_001.jpg","(OCR)","[OK]"
"1899_02_01_BCN_DB_T_08_000.jpg","(OCR)","[OK]"
"1899_02_01_BCN_DB_T_08_001.jpg","(OCR)","[OK]"
"1899_02_01_BCN_DB_T_08_002.jpg","(OCR)","[ERROR]"
"1899_02_01_BCN_DB_T_08_003.jpg","(OCR)","[OK]"
